股票代码,所属同花顺行业,market_code,code
301669.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33,301669
920394.BJ,轻工制造-造纸-造纸Ⅲ,151,920394
920357.BJ,电子-消费电子-消费电子零部件及组装,151,920357
300411.SZ,机械设备-专用设备-其他专用设备,33,300411
688207.SH,计算机-IT服务-IT服务Ⅲ,17,688207
688126.SH,电子-半导体-半导体材料,17,688126
688711.SH,电子-半导体-分立器件,17,688711
300260.SZ,轻工制造-包装印刷-包装,33,300260
301428.SZ,通信-通信服务-通信应用增值服务,33,301428
688783.SH,电子-半导体-半导体材料,17,688783
688596.SH,机械设备-专用设备-其他专用设备,17,688596
688368.SH,电子-半导体-模拟芯片设计,17,688368
688478.SH,电子-半导体-半导体设备,17,688478
301630.SZ,电子-电子化学品-电子化学品Ⅲ,33,301630
688409.SH,电子-半导体-半导体设备,17,688409
301013.SZ,机械设备-专用设备-其他专用设备,33,301013
688500.SH,计算机-IT服务-IT服务Ⅲ,17,688500
688141.SH,电子-半导体-模拟芯片设计,17,688141
301222.SZ,电力设备-电池-其他电池,33,301222
300593.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33,300593
300656.SZ,电子-其他电子-其他电子Ⅲ,33,300656
300221.SZ,基础化工-塑料制品-改性塑料,33,300221
688260.SH,电子-消费电子-消费电子零部件及组装,17,688260
688719.SH,电力设备-其他电源设备-其他电源设备Ⅲ,17,688719
688788.SH,国防军工-军工电子-军工电子Ⅲ,17,688788
688549.SH,电子-电子化学品-电子化学品Ⅲ,17,688549
300570.SZ,通信-通信设备-通信网络设备及器件,33,300570
688584.SH,电子-半导体-半导体材料,17,688584
688096.SH,环保-环境治理-水务及水治理,17,688096
920056.BJ,基础化工-塑料制品-其他塑料制品,151,920056
688519.SH,电子-元件-印制电路板,17,688519
300666.SZ,电子-半导体-半导体材料,33,300666
688556.SH,电力设备-光伏设备-光伏加工设备,17,688556
300316.SZ,电力设备-光伏设备-光伏加工设备,33,300316
300576.SZ,电子-电子化学品-电子化学品Ⅲ,33,300576
300878.SZ,医药生物-中药-中药Ⅲ,33,300878
300482.SZ,医药生物-医疗器械-体外诊断,33,300482
688432.SH,电子-半导体-半导体材料,17,688432
301526.SZ,建筑材料-建筑材料-玻璃玻纤,33,301526
300285.SZ,电子-电子化学品-电子化学品Ⅲ,33,300285
688785.SH,电子-半导体-半导体设备,17,688785
688551.SH,电力设备-其他电源设备-其他电源设备Ⅲ,17,688551
301098.SZ,建筑装饰-建筑装饰-装饰园林,33,301098
300835.SZ,有色金属-金属新材料-磁性材料,33,300835
920526.BJ,电子-半导体-半导体材料,151,920526
688665.SH,机械设备-通用设备-仪器仪表,17,688665
300408.SZ,电子-元件-被动元件,33,300408
300373.SZ,电子-半导体-分立器件,33,300373
300606.SZ,机械设备-通用设备-磨具磨料,33,300606
688323.SH,基础化工-塑料制品-膜材料,17,688323
300870.SZ,电力设备-其他电源设备-其他电源设备Ⅲ,33,300870
920179.BJ,电子-半导体-半导体材料,151,920179
300592.SZ,商贸零售-互联网电商-互联网电商Ⅲ,33,300592
688233.SH,电子-半导体-半导体材料,17,688233
688020.SH,电子-电子化学品-电子化学品Ⅲ,17,688020
301018.SZ,机械设备-通用设备-制冷空调设备,33,301018
920402.BJ,电子-电子化学品-电子化学品Ⅲ,151,920402
301196.SZ,基础化工-塑料制品-其他塑料制品,33,301196
688625.SH,基础化工-化学制品-其他化学制品,17,688625
688787.SH,计算机-IT服务-IT服务Ⅲ,17,688787
300671.SZ,电子-半导体-模拟芯片设计,33,300671
300806.SZ,基础化工-塑料制品-膜材料,33,300806
301031.SZ,电子-其他电子-其他电子Ⅲ,33,301031
688388.SH,电力设备-电池-锂电池,17,688388
688234.SH,电子-半导体-半导体材料,17,688234
301205.SZ,通信-通信设备-通信网络设备及器件,33,301205
688006.SH,电力设备-电池-锂电专用设备,17,688006
688662.SH,电子-其他电子-其他电子Ⅲ,17,688662
301607.SZ,汽车-汽车零部件-汽车电子电气系统,33,301607
920206.BJ,基础化工-化学制品-涂料油墨,151,920206
688056.SH,机械设备-通用设备-仪器仪表,17,688056
300548.SZ,通信-通信设备-通信网络设备及器件,33,300548
688484.SH,电子-半导体-模拟芯片设计,17,688484
300145.SZ,机械设备-通用设备-其他通用设备,33,300145
301176.SZ,电子-元件-印制电路板,33,301176
688733.SH,电力设备-电池-电池化学品,17,688733
