涨停原因类别[20260212],market_code,股票代码,code
活塞+人形机器人+重组审核+北京国资,17,600960.SH,600960
装配式建筑+AI子公司+集成吊顶,17,605318.SH,605318
光伏银粉+硫铁矿+业绩预增+广东国资,33,000833.SZ,000833
,22,600599.SH,600599
AI纤维布+风电叶片+央企背景,33,002080.SZ,002080
军工+退市风险+粮食,33,000638.SZ,000638
500kV变压器+数据中心+取向硅钢,17,603191.SH,603191
换股吸并+汽轮机+杭州国资+电力IT,33,300277.SZ,300277
,33,002905.SZ,002905
控制权变动+固废处理+储能中标,33,000820.SZ,000820
金属铟+ITO靶材+鑫联科技注入,33,000711.SZ,000711
电子布涨价+PCB概念+业绩预增,17,603256.SH,603256
涨价+云计算+AI算力+商业航天,17,688158.SH,688158
数据中心+AI算力+电网设备+SST,17,601126.SH,601126
,33,001270.SZ,001270
,33,002731.SZ,002731
,33,002485.SZ,002485
,22,600355.SH,600355
CPO+AI眼镜+SiP模组,17,601231.SH,601231
定增收购钨钽资产+磁选设备+江西国资,17,600397.SH,600397
工业母机+业绩预增+高端装备,33,002248.SZ,002248
MSCI纳入+液冷泵+AI营销,33,002131.SZ,002131
CPO+光纤光缆+商业航天+深圳国资,33,000070.SZ,000070
玉柴合作+柴油发动机+新能源汽车+业绩预增,17,603950.SH,603950
,17,603778.SH,603778
液冷服务器+维谛技术+屏蔽泵,17,603757.SH,603757
算力中心+重整完成+家装AI,33,002713.SZ,002713
,17,600722.SH,600722
,33,002759.SZ,002759
电力改革+火电+业绩预增+山西国资,33,000767.SZ,000767
CPO光模块+增资光彩芯辰+精密箱体,33,002796.SZ,002796
重整完成+军工导入+精细化工+股东增持,33,000691.SZ,000691
变压器+磁性元器件+数据中心+光伏储能,33,002885.SZ,002885
锆钛选矿+业绩预计减亏+世博家具,22,603389.SH,603389
,33,002702.SZ,002702
,33,002342.SZ,002342
,33,002723.SZ,002723
玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,17,600545.SH,600545
半导体的人来了+房地产+创投,33,000609.SZ,000609
,33,001330.SZ,001330
,22,603813.SH,603813
人形机器人+行星丝杠+飞行汽车,17,605018.SH,605018
,17,603729.SH,603729
智算云服务+智谱一体机+昇腾合作,33,300846.SZ,300846
黄金+铜+预增,17,600490.SH,600490
,33,000004.SZ,000004
农药制剂+原药一体化+西部大开发,17,605033.SH,605033
数据中心+变压器+海外产能,33,002922.SZ,002922
油运周期+VLCC运价+央企,17,600026.SH,600026
液冷+机器人+换热器+国企,17,603088.SH,603088
,17,603103.SH,603103
液冷服务器+英伟达+储能温控,33,002837.SZ,002837
SpaceX订单+液冷服务器+氢能装备,17,600481.SH,600481
间接投资光纤公司+储能系统+超级电容+国企合作,33,002951.SZ,002951
长鑫科技+合肥国资+房地产,33,002208.SZ,002208
钨价上涨+光伏钨丝+年报预增,33,002842.SZ,002842
AI短剧+字节概念+数字阅读,17,603533.SH,603533
算力租赁+回购贷款+天津国资,17,600821.SH,600821
半导体材料+高纯石英砂+光伏复苏,17,603688.SH,603688
预重整+天然气+扭亏,33,000669.SZ,000669
钨价上涨+钨产业链+商业航天+业绩预增,33,002378.SZ,002378
算力基建+干式变压器+北美出口,33,000533.SZ,000533
VLCC油运+业绩预增+央企,17,601872.SH,601872
拟投建宜宾二期项目+消费电子+电池结构件+年报预增,33,002824.SZ,002824
VLCC大单+船舶制造+业绩预增,22,603268.SH,603268
液冷服务器+储能+AI智算+数据中心,33,002518.SZ,002518
特高压+海上风电+电网设备,33,002498.SZ,002498
燃气轮机+商业航天+航空发动机,17,603308.SH,603308
,33,002830.SZ,002830
HVDC+智算中心+算力,33,002364.SZ,002364
国产数据库+向量数据库+信创,17,603138.SH,603138
液冷服务器+北美订单+绿色算力,33,002272.SZ,002272
,17,603698.SH,603698
磁悬浮热泵+数据中心+节能设备,33,301317.SZ,301317
算力租赁+东数西算+IDC,17,600589.SH,600589
,17,603959.SH,603959
涨价+玻纤+山东国资,17,605006.SH,605006
HRSG满产（用于燃机）+特材投产+核电管材,33,002478.SZ,002478
液冷+秦淮数据+人形机器人+制冷剂,17,600673.SH,600673
华鲲振宇并购预期+功率半导体+成都国资,33,000628.SZ,000628
,22,600243.SH,600243
,33,300344.SZ,300344
光伏建筑一体化+光伏设备+枣庄国资,33,002323.SZ,002323
绿氢醇项目+回购+风电运营,17,601619.SH,601619
液冷服务器+AI服务器测试+人形机器人+业绩预增,33,002975.SZ,002975
人形机器人+数控螺纹磨床+高端机床,33,002520.SZ,002520
重金属治理+铼回收+钼加工+紫金合作,17,688480.SH,688480
参股算力+绿电储备+火电+河南国资,33,001896.SZ,001896
钽铌制品+定增注册获批+商业航天,33,000962.SZ,000962
液冷服务器+氢能源+换热器+业绩预增,17,603090.SH,603090
AI漫剧+城市更新+扭亏为盈,17,605287.SH,605287
