所属概念,market_code,所属概念数量,股票代码,code
减速器;人形机器人;同花顺新质50;新型工业化;机器人概念;专精特新;中国AI 50;2025年报预增;沪股通;融资融券,17,10,688017.SH,688017
核电;氢能源;石墨烯;水利;回购增持再贷款概念;国企改革;地下管网;新型城镇化;天然气,33,9,002443.SZ,002443
先进封装;MCU芯片;芯片概念;汽车电子;传感器;消费电子概念;专精特新;5G;数字货币;沪股通;融资融券,17,11,688362.SH,688362
柔性直流输电;特高压;智能电网;电力物联网;抽水蓄能;核电;2025年报预增;专精特新;医疗器械概念;基因测序;水利;血氧仪;智能医疗;家庭医生;融资融券,33,15,300018.SZ,300018
CRO概念;减肥药;阿尔茨海默概念;人民币贬值受益;专精特新;2025年报预增;氢能源;氟化工概念;融资融券,33,9,301509.SZ,301509
AI应用;ChatGPT概念;多模态AI;智能医疗;CRO概念;人工智能;创新药;流感;合成生物;医疗器械概念;2025年报预增;人民币贬值受益;融资融券,33,13,301230.SZ,301230
长三角一体化;风电;绿色电力;PCB概念;家用电器;2025年报预增;虚拟电厂;东数西算(算力),17,8,603685.SH,603685
共封装光学(CPO);铜缆高速连接;5G;数据中心;卫星导航;高压快充;商业航天;无人机;比亚迪概念;军工;华为概念;低空经济;新能源汽车;阿里巴巴概念;腾讯概念;机器人概念;核电;高铁;西部大开发;国企改革;沪股通;融资融券,17,22,688629.SH,688629
汽车芯片;MCU芯片;OLED;MicroLED概念;芯片概念;MiniLED;消费电子概念;量子科技;国企改革;沪股通;融资融券,17,11,688249.SH,688249
创新药;沪股通;融资融券,17,3,688197.SH,688197
减肥药;创新药;智能医疗;猴痘概念;肝炎概念;DeepSeek概念;粤港澳大湾区;医药电商;AI应用;中俄贸易概念;沪股通;融资融券,17,12,688321.SH,688321
机器人概念;燃料电池;风电;一带一路;沪股通;股权转让(并购重组);融资融券,17,7,688585.SH,688585
细胞免疫治疗;基因测序;智能医疗;CRO概念;人工智能;重组蛋白;专精特新;上海自贸区;融资融券,17,9,688238.SH,688238
减肥药;创新药;仿制药一致性评价;医疗器械概念;参股保险;证金持股;深股通;融资融券,33,8,002294.SZ,002294
流感;猴痘概念;肝炎概念;基因测序;辅助生殖;食品安全;医疗器械概念;智能医疗;创投;DeepSeek概念;专精特新;股权转让(并购重组);融资融券;深股通,33,14,002932.SZ,002932
电子竞技;脑机接口;2025年报预增;共同富裕示范区;网络游戏;手机游戏;IP经济(谷子经济);长三角一体化;人民币贬值受益;云游戏;NFT概念;AI应用;人工智能;虚拟数字人;元宇宙;腾讯概念;虚拟现实;比亚迪概念;新能源汽车;AIGC概念;DeepSeek概念;算力租赁;华为概念;数据安全;东数西算(算力);数据中心;同花顺出海50;深股通;融资融券;摘帽,33,30,002602.SZ,002602
商业航天;低空经济;空间计算;智慧城市;新型工业化;数字孪生;虚拟现实;建筑节能;元宇宙;新型城镇化;数据中心;多模态AI;独角兽概念;装配式建筑;DeepSeek概念;长三角一体化;光伏建筑一体化;一带一路,17,18,603017.SH,603017
仿制药一致性评价;创新药;眼科医疗;肝炎概念;阿尔茨海默概念;医疗器械概念;共同富裕示范区;深股通;融资融券,33,9,002020.SZ,002020
